使用区队	申请日期	出库明细									
使用区队	申请日期	物料类型	物料编码	物料名称	规格型号	单位	出库数量	单价	金额	单位	工程名称
掘进一队	2025-12-04	材料	390121010000151	壁纸刀片	18×100	盒	2.00	5.76	11.52	开掘	﹢740m上仓斜巷
掘进一队	2025-12-04	材料	390301010000045	角磨机砂轮片	107×1.2×16	片	50.00	2.70	135.00	开掘	﹢740m上仓斜巷
掘进一队	2025-12-04	材料	390121010000104	壁纸刀	2041	把	9.00	18.91	170.19	开掘	﹢740m上仓斜巷
掘进一队	2025-12-04	材料	390101070000012	活扳手	300mm	把	3.00	18.07	54.21	开掘	﹢740m上仓斜巷
掘进一队	2025-12-04	材料	213115030000021	十字塑柄螺丝刀	6*150（磁力型）（45#钢）	把	2.00	4.51	9.02	开掘	﹢740m上仓斜巷
掘进一队	2025-12-04	材料	392301070000051	数显游标卡尺	0-200mm分度值0.01mm	把	1.00	265.83	265.83	开掘	﹢740m上仓斜巷
机电队	2025-12-04	材料	210111010000286	橡套电缆	MYP-0.66/1.14KV 3×35+1×16 .	米	100.00	135.00	13500.00	开掘	﹢740m上仓斜巷
机电队	2025-12-04	材料	210111010000230	橡套电缆	MY-0.38/0.66KV 3×16+1×10 .	米	100.00	67.41	6741.00	开掘	﹢740m上仓斜巷
机电队	2025-12-04	材料	230101010000006	普通橡胶板	5mm	公斤	100.00	5.81	581.00	开掘	﹢740m上仓斜巷
机电队	2025-12-04	材料	230101010000006	普通橡胶板	5mm	公斤	50.00	4.90	245.00	开掘	﹢740m上仓斜巷
机电队	2025-12-04	材料	250303090000001	电焊面罩SMR-01（单位：个）	升降式(木浆纸板)	个	5.00	5.61	28.05	开掘	﹢740m上仓斜巷
机电队	2025-12-04	材料	230503050000003	白磁漆	小桶（2-3.5kg)	公斤	30.00	12.73	381.90	开掘	﹢740m上仓斜巷
机电队	2025-12-04	材料	230503050000011	红磁漆	小桶（2-3.5 kg）	公斤	30.00	11.41	342.30	开掘	﹢740m上仓斜巷
机电队	2025-12-04	材料	210111010000224	橡套电缆	MY-0.38/0.66KV 3×10+1×10 .	米	140.00	52.02	7282.80	开掘	﹢740m上仓斜巷
机电队	2025-12-04	材料	390101070000012	活扳手	300mm	把	4.00	18.07	72.28	开掘	﹢740m上仓斜巷
机电队	2025-12-04	材料	390103030000004	大锤	24磅	把	1.00	379.02	379.02	开掘	﹢740m上仓斜巷
机电队	2025-12-04	材料	390115110000021	高档断线钳	24/ 600MM（45#钢）	把	1.00	48.91	48.91	开掘	﹢740m上仓斜巷
机电队	2025-12-04	材料	210545230000005	开口铜线鼻	200A	只	100.00	1.70	170.00	开掘	﹢740m上仓斜巷
智能化信息化中心	2025-12-04	材料	213121010000030	电锤钻头	6-25mm（10件）(高碳钢)	套	1.00	105.50	105.50	开掘	﹢740m上仓斜巷
智能化信息化中心	2025-12-04	材料	390303030000004	（进口）电锤	Φ38mm（进口）（铜线圈）	把	1.00	2110.30	2110.30	开掘	﹢740m上仓斜巷
智能化信息化中心	2025-12-04	材料	390121010000151	壁纸刀片	18×100	盒	2.00	5.76	11.52	开掘	﹢740m上仓斜巷
智能化信息化中心	2025-12-04	材料	210107030000002	引爆绝缘电线	DBV-2 0.6mm	米	500.00	1.07	535.00	开掘	﹢740m上仓斜巷
智能化信息化中心	2025-12-04	材料	210111090000008	矿用通讯电缆	MHY32 5×2×1/0.97.	米	2000.00	17.07	34140.00	开掘	﹢740m上仓斜巷
智能化信息化中心	2025-12-04	材料	390121010000104	壁纸刀	2041	把	5.00	18.91	94.55	开掘	﹢740m上仓斜巷
智能化信息化中心	2025-12-04	材料	210199000000106	网络电源一体化电缆	CAT5E网线+RVV电源线一体化电缆，标准：YD/T926-2001   8×0.5mmCAT5E网线+ZR-RVV2×1.0mm电缆	米	300.00	4.06	1218.00	开掘	﹢740m上仓斜巷
智能化信息化中心	2025-12-04	材料	210199000000106	网络电源一体化电缆	/	米	600.00	4.06	2436.00	开掘	﹢740m上仓斜巷
智能化信息化中心	2025-12-04	材料	210111090000062	矿用通讯电缆	MHYV 10×2×7/0.37.	米	1000.00	15.37	15370.00	开掘	﹢740m上仓斜巷
掘进一队	2025-12-03	材料	211501010000216	六角螺栓	16×70	件	225.00	0.83	186.75	开掘	﹢740m上仓斜巷
掘进一队	2025-12-03	材料	211503010000004	普通螺母	16mm	件	100.00	0.19	19.00	开掘	﹢740m上仓斜巷
掘进一队	2025-12-03	材料	570905030000216	矿用本安型拉线开关	KHL1-0.1/24	件	3.00	907.80	2723.40	开掘	﹢740m上仓斜巷
掘进一队	2025-12-03	材料	550199110000028	托辊	89×950×20×1050（－66~＋60）×3.25	件	4.00	130.00	520.00	开掘	﹢740m上仓斜巷
掘进一队	2025-12-03	材料	210111010000296	橡套电缆	MYP-0.66/1.14KV 3×70+1×25 .	米	200.00	251.89	50378.00	开掘	﹢740m上仓斜巷
掘进一队	2025-12-03	材料	230103210000005	橡胶面整芯阻燃输送带	800mm	米	100.00	216.00	21600.00	开掘	﹢740m上仓斜巷
掘进一队	2025-12-03	材料	990143030013968	气动隔膜泵	BQG（350-400）/(0.2-0.4)（3969）	台	1.00	3600.00	3600.00	开掘	﹢740m上仓斜巷
掘进一队	2025-12-03	材料	212101250000053	法兰盘	50mm(-16)	个	8.00	14.96	119.68	开掘	﹢740m上仓斜巷
掘进一队	2025-12-03	材料	990143030037553	闸阀	Z41Y--2.5mpa 50mm（16553）	个	2.00	480.30	960.60	开掘	﹢740m上仓斜巷
掘进一队	2025-12-03	材料	231103050000279	耐油硅酮密封胶	/	支	13.00	6.64	86.32	开掘	﹢740m上仓斜巷
掘进一队	2025-12-03	材料	211917010000006	球阀	Q11F-16P-DN40	个	2.00	32.93	65.86	开掘	﹢740m上仓斜巷
掘进一队	2025-12-03	材料	550199110000026	托辊	89×280×20×325(±20)×3.25-3	组	21.00	218.89	4596.69	开掘	﹢740m上仓斜巷
机电队	2025-12-02	材料	212115190000003	管固	DN20mm	个	13.00	1.90	24.70	开掘	﹢740m上仓斜巷
机电队	2025-12-02	材料	214101150000004	花兰螺丝	16×250	条	2.00	18.80	37.60	开掘	﹢740m上仓斜巷
机电队	2025-12-02	材料	211501010000398	六角螺栓	8×50	件	1345.00	0.14	188.30	开掘	﹢740m上仓斜巷
机电队	2025-12-02	材料	211503010000020	普通螺母	6mm	千件	1.00	25.30	25.30	开掘	﹢740m上仓斜巷
机电队	2025-12-02	材料	211501010000384	六角螺栓	6×60	件	80.00	0.10	8.00	开掘	﹢740m上仓斜巷
机电队	2025-12-02	材料	211501010000142	六角螺栓	10×50	件	80.00	0.21	16.80	开掘	﹢740m上仓斜巷
机电队	2025-12-02	材料	210111030000557	塑力电缆	VV22-0.6/1KV 4×25.	米	380.00	84.30	32034.00	开掘	﹢740m上仓斜巷
机电队	2025-12-02	材料	211503010000023	六角螺母	M10	套	80.00	0.26	20.80	开掘	﹢740m上仓斜巷
调度室	2025-12-02	材料	980121000001064	矿灯带	.	条	20.00	5.00	100.00	开掘	﹢740m上仓斜巷
掘进一队	2025-12-01	材料	390107030000002	回弹型钢锯条	12"（合金钢）	条	100.00	3.34	334.00	开掘	﹢740m上仓斜巷
掘进一队	2025-12-01	材料	211503010000004	普通螺母	16mm	件	500.00	0.19	95.00	开掘	﹢740m上仓斜巷
掘进一队	2025-12-01	材料	盈树	缝管锚杆	MF40/2000	套	400.00	32.03	12812.00	开掘	﹢740m上仓斜巷
掘进一队	2025-12-01	材料	278701010000003	塑料涂覆布正压风筒	FTZSS600*10	米	100.00	16.94	1694.00	开掘	﹢740m上仓斜巷
掘进一队	2025-12-01	材料	210111010000463	煤矿用移动轻型橡套软电缆	MYQ4×1.5.	米	300.00	5.33	1599.00	开掘	﹢740m上仓斜巷
掘进一队	2025-12-01	材料	210323070000045	矿用隔爆型LED巷道灯	DGS60/127L(A)	台	8.00	1320.00	10560.00	开掘	﹢740m上仓斜巷
掘进一队	2025-12-01	材料	510305010000060	注液枪	DZ-Q1	把	2.00	55.64	111.28	开掘	﹢740m上仓斜巷
掘进一队	2025-12-01	材料	290101050000318	O形圈	24×2.4	件	100.00	0.22	22.00	开掘	﹢740m上仓斜巷
掘进一队	2025-12-01	材料	290101050000141	O形圈	15×2.4	件	100.00	0.22	22.00	开掘	﹢740m上仓斜巷
掘进一队	2025-12-01	材料	390109050000002	工具钢高强剁斧	.	把	10.00	13.59	135.90	开掘	﹢740m上仓斜巷
掘进一队	2025-12-01	材料	392301010000004	包胶钢卷尺	5m（不锈钢，工程塑料）	把	3.00	37.73	113.19	开掘	﹢740m上仓斜巷
掘进一队	2025-12-01	材料	510305010000060	注液枪	DZ-Q1	把	1.00	54.58	54.58	开掘	﹢740m上仓斜巷
掘进一队	2025-12-01	材料	211515090000006	镀锌平垫	20mm	件	15.00	0.15	2.25	开掘	﹢740m上仓斜巷
掘进一队	2025-12-01	材料	211515030000005	弹簧垫	20mm	件	15.00	0.18	2.70	开掘	﹢740m上仓斜巷
掘进一队	2025-12-01	材料	211501010000241	六角螺栓	20×120	件	15.00	2.14	32.10	开掘	﹢740m上仓斜巷
掘进一队	2025-12-01	材料	211503010000006	普通螺母	20mm	件	15.00	0.44	6.60	开掘	﹢740m上仓斜巷
掘进一队	2025-12-01	材料	211503010000010	普通螺母	30mm	件	32.00	1.51	48.32	开掘	﹢740m上仓斜巷
掘进一队	2025-12-01	材料	211515090000004	镀锌平垫	16mm	件	20.00	0.11	2.20	开掘	﹢740m上仓斜巷
掘进一队	2025-12-01	材料	211515030000003	弹簧垫	16mm	件	20.00	0.15	3.00	开掘	﹢740m上仓斜巷
掘进一队	2025-12-01	材料	211501010000191	六角螺栓	16×100	件	20.00	1.09	21.80	开掘	﹢740m上仓斜巷
掘进一队	2025-12-01	材料	211503010000004	普通螺母	16mm	件	20.00	0.19	3.80	开掘	﹢740m上仓斜巷
掘进一队	2025-12-01	材料	212101250000018	板式平焊法兰	DN150-PN40 PL RF Ⅱ Q235A GB/T9124.1	片	4.00	43.76	175.04	开掘	﹢740m上仓斜巷
掘进一队	2025-12-01	材料	110505110000030	退火钢丝（镀锌铁丝）	TA-2.2-YB/T 5294-2009	公斤	50.00	5.54	277.00	开掘	﹢740m上仓斜巷
掘进一队	2025-12-01	材料	110507010000004	镀锌铁丝	1.6mm	公斤	10.00	6.14	61.40	开掘	﹢740m上仓斜巷
掘进一队	2025-12-01	材料	230117670000002	蛇皮管	20mm	米	150.00	3.44	516.00	开掘	﹢740m上仓斜巷
掘进一队	2025-12-01	材料	212701010000009	手动葫芦	1t×5m	台	1.00	275.00	275.00	开掘	﹢740m上仓斜巷
掘进一队	2025-12-01	材料	990143030037906	中间架	800mm（16906）	架	15.00	404.60	6069.00	开掘	﹢740m上仓斜巷
掘进一队	2025-12-01	材料	210111010000274	橡套电缆	MYP-0.66/1.14KV 3×10+1×10 .	米	120.00	55.67	6680.40	开掘	﹢740m上仓斜巷
掘进一队	2025-12-01	材料	550199110000026	托辊	89×280×20×325(±20)×3.25-3	组	60.00	218.89	13133.40	开掘	﹢740m上仓斜巷
掘进一队	2025-12-01	材料	230103210000005	橡胶面整芯阻燃输送带	800mm	米	100.00	216.00	21600.00	开掘	﹢740m上仓斜巷
掘进一队	2025-12-01	材料	550199170000003	边管	3M*60	根	130.00	187.00	24310.00	开掘	﹢740m上仓斜巷
掘进一队	2025-12-01	材料	230119110000006	尼龙扎带	5×500	根	1250.00	0.07	87.50	开掘	﹢740m上仓斜巷
掘进一队	2025-12-01	材料	110505110000029	退火钢丝（镀锌铁丝）	TA-1.6-YB/T 5294-2009	公斤	40.00	4.19	167.60	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-01	材料	210505190000047	空气开关（断路器）	DZ47-63/ 3P 63A（长城）	台	1.00	15.90	15.90	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-01	材料	210505190000039	空气开关（断路器）	DZ47-63/ 2P 32A（长城）	台	1.00	9.90	9.90	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-01	材料	210545710000004	配电箱	300×400	个	1.00	61.80	61.80	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-01	材料	210111010000465	煤矿用移动轻型橡套软电缆	MYQ4×2.5.	米	100.00	8.49	849.00	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-01	材料	212101250000053	法兰盘	50mm(-16)	个	100.00	14.96	1496.00	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-01	材料	212115030000002	冲压弯头	108mm	个	2.00	19.99	39.98	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-01	材料	210111010000296	橡套电缆	MYP-0.66/1.14KV 3×70+1×25 .	米	10.00	251.89	2518.90	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-01	材料	211503010000006	普通螺母	20mm	件	80.00	0.44	35.20	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-01	材料	212305110000030	轻轨用接头夹板（道夹板）	24Kg/m	件	40.00	16.52	660.80	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-01	材料	211501070000011	鱼尾螺栓	20×90	件	80.00	1.47	117.60	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-01	材料	110101030000004	轻轨	24kg/m	公斤	2400.00	3.76	9024.00	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-01	材料	211503010000004	普通螺母	16mm	件	20.00	0.19	3.80	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-01	材料	211501010000216	六角螺栓	16×70	件	20.00	0.83	16.60	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-01	材料	211515090000004	镀锌平垫	16mm	件	20.00	0.11	2.20	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-01	材料	210117030000023	矿用电缆挂钩	GL-PVC80	个	20.00	2.13	42.60	开掘	﹢740m上仓斜巷
综机机加工车间	2025-12-01	材料	110507010000007	镀锌铁丝	3.5mm	公斤	20.00	5.19	103.80	开掘	﹢740m上仓斜巷
通风队	2025-12-01	材料	278701010000003	塑料涂覆布正压风筒	FTZSS600*10	米	10.00	16.94	169.40	开掘	﹢740m上仓斜巷
通风队	2025-12-01	材料	190301090000003	隔绝式化学氧自救器	ZH30X（A）	台	69.00	216.81	14959.89	开掘	﹢740m上仓斜巷
											
掘进一队	2025-11-25	材料	110709010000023	高强预应力鸟巢钢绞线	1×7×17.8	米	500.00	11.00	5500.00	开掘	﹢810m大巷至装载硐室绕行
掘进一队	2025-11-25	材料	盈树	热轧扁钢	80×8	公斤	1100.00	3.19	3509.00	开掘	﹢811m大巷至装载硐室绕行
掘进一队	2025-11-25	材料	盈树	管子垫	50mm综配	个	2290.00	0.81	1854.90	开掘	﹢812m大巷至装载硐室绕行
掘进一队	2025-11-25	材料	盈树	缝管锚杆	MF40/2000	套	1500.00	32.03	48045.00	开掘	﹢813m大巷至装载硐室绕行
掘进一队	2025-11-25	材料	盈树	管子垫	Φ100	件	2500.00	0.84	2100.00	开掘	﹢814m大巷至装载硐室绕行
掘进一队	2025-11-25	材料	盈树	锚杆托盘	150×150×10	个	300.00	7.70	2310.00	开掘	﹢815m大巷至装载硐室绕行
掘进一队	2025-11-25	材料	110707170000001	无纵肋螺纹钢式树脂锚杆金属杆体(特殊左旋锚杆)	MSGLW-500/22×2400	套	200.00	61.88	12376.00	开掘	﹢816m大巷至装载硐室绕行
掘进一队	2025-11-25	材料	230713010000008	树脂锚杆锚固剂	MSCKa2335	支	800.00	4.51	3608.00	开掘	﹢817m大巷至装载硐室绕行
掘进一队	2025-11-25	材料	110707330000010	锚索盘	300x300x14	个	150.00	52.83	7924.50	开掘	﹢818m大巷至装载硐室绕行
掘进一队	2025-11-25	材料	盈树	矿用锚索锚具	KM18-1860	个	700.00	9.64	6748.00	开掘	﹢819m大巷至装载硐室绕行
掘进一队	2025-11-25	材料	盈树	普通螺母	16mm	件	2340.00	0.17	397.80	开掘	﹢820m大巷至装载硐室绕行
掘进一队	2025-11-25	材料	盈树	焊管	Q235Φ50mm	公斤	7500.00	3.05	22875.00	开掘	﹢821m大巷至装载硐室绕行
掘进一队	2025-11-25	材料	390101030000034	梅花扳手	22-24mm	把	5.00	9.73	48.65	开掘	﹢822m大巷至装载硐室绕行
掘进一队	2025-11-25	材料	211501010000212	六角螺栓	16×50	件	20.00	0.64	12.80	开掘	﹢823m大巷至装载硐室绕行
掘进一队	2025-11-25	材料	盈树	六角头全螺纹螺栓	M16×60	套	700.00	0.62	434.00	开掘	﹢824m大巷至装载硐室绕行
汽车队	2025-11-22	材料	250701070000003	乳胶手套	乳胶	双	20.00	4.92	98.40	开掘	﹢825m大巷至装载硐室绕行
智能化信息化中心	2025-11-21	材料	250501010000013	防尘口罩	3M 9002	个	2.00	20.90	41.80	开掘	﹢826m大巷至装载硐室绕行
智能化信息化中心	2025-11-21	材料	250701070000003	乳胶手套	乳胶	双	2.00	4.92	9.84	开掘	﹢827m大巷至装载硐室绕行
智能化信息化中心	2025-11-21	材料	980121000001064	矿灯带	.	条	1.00	5.00	5.00	开掘	﹢828m大巷至装载硐室绕行
智能化信息化中心	2025-11-21	材料	250101030000013	加厚防尘服	大中小号	套	4.00	144.90	579.60	开掘	﹢829m大巷至装载硐室绕行
智能化信息化中心	2025-11-21	材料	210323110000004	矿灯	KL5LM（Z）锂电	台	1.00	159.00	159.00	开掘	﹢830m大巷至装载硐室绕行
智能化信息化中心	2025-11-21	材料	210523090000005	尾纤	2m	条	100.00	200.00	20000.00	开掘	﹢831m大巷至装载硐室绕行
掘进一队	2025-11-20	材料	盈树	普通螺母	16mm	件	60.00	0.17	10.20	开掘	﹢832m大巷至装载硐室绕行
掘进一队	2025-11-20	材料	110507010000004	镀锌铁丝	1.6mm	公斤	160.00	6.14	982.40	开掘	﹢833m大巷至装载硐室绕行
掘进一队	2025-11-20	材料	211501010000212	六角螺栓	16×50	件	40.00	0.64	25.60	开掘	﹢834m大巷至装载硐室绕行
掘进一队	2025-11-20	材料	E30108090000034	气动隔膜泵	BQG-350/0.2	台	1.00	1900.00	1900.00	开掘	﹢835m大巷至装载硐室绕行
掘进一队	2025-11-20	材料	110103150000020	扁钢	Q23580×8mm	公斤	271.00	3.08	834.68	开掘	﹢836m大巷至装载硐室绕行
掘进一队	2025-11-20	材料	990143030037553	闸阀	Z41Y--2.5mpa 50mm（16553）	个	1.00	480.30	480.30	开掘	﹢837m大巷至装载硐室绕行
掘进一队	2025-11-25	材料	盈树	卡缆	KB29	套	800.00	25.95	20760.00	开掘	﹢838m大巷至装载硐室绕行
掘进一队	2025-11-20	材料	230103210000005	橡胶面整芯阻燃输送带	800mm	米	100.00	216.00	21600.00	开掘	﹢839m大巷至装载硐室绕行
掘进一队	2025-11-20	材料	990143030037906	中间架	800mm（16906）	架	13.00	404.60	5259.80	开掘	﹢840m大巷至装载硐室绕行
掘进一队	2025-11-20	材料	250501010000013	防尘口罩	3M 9002	个	12.00	20.90	250.80	开掘	﹢841m大巷至装载硐室绕行
掘进一队	2025-11-20	材料	980121000001064	矿灯带	.	条	6.00	5.00	30.00	开掘	﹢842m大巷至装载硐室绕行
掘进一队	2025-11-20	材料	210323110000004	矿灯	KL5LM（Z）锂电	台	6.00	159.00	954.00	开掘	﹢843m大巷至装载硐室绕行
掘进一队	2025-11-20	材料	250701070000003	乳胶手套	乳胶	双	12.00	4.92	59.04	开掘	﹢844m大巷至装载硐室绕行
掘进一队	2025-11-20	材料	250101030000013	加厚防尘服	大中小号	套	6.00	144.90	869.40	开掘	﹢845m大巷至装载硐室绕行
掘进一队	2025-11-20	材料	570905030000216	矿用本安型拉线开关	KHL1-0.1/24	件	2.00	907.80	1815.60	开掘	﹢846m大巷至装载硐室绕行
掘进一队	2025-11-20	材料	550199170000003	边管	3M*60	根	50.00	187.00	9350.00	开掘	﹢847m大巷至装载硐室绕行
掘进一队	2025-11-20	材料	278701010000003	塑料涂覆布正压风筒	FTZSS600*10	米	100.00	16.94	1694.00	开掘	﹢848m大巷至装载硐室绕行
掘进一队	2025-11-18	材料	110709010000023	高强预应力鸟巢钢绞线	1×7×17.8	米	700.00	11.00	7700.00	开掘	﹢849m大巷至装载硐室绕行
掘进一队	2025-11-18	材料	盈树	热轧扁钢	80×8	公斤	600.00	3.19	1914.00	开掘	﹢850m大巷至装载硐室绕行
掘进一队	2025-11-18	材料	盈树	管子垫	Φ100	件	2000.00	0.84	1680.00	开掘	﹢851m大巷至装载硐室绕行
掘进一队	2025-11-18	材料	盈树	管子垫	50mm综配	个	110.00	0.81	89.10	开掘	﹢852m大巷至装载硐室绕行
掘进一队	2025-11-18	材料	110707250000011	缝管锚杆	MF40/2000	套	1450.00	37.00	53650.00	开掘	﹢853m大巷至装载硐室绕行
掘进一队	2025-11-18	材料	盈树	锚杆托盘	150×150×10	个	300.00	7.70	2310.00	开掘	﹢854m大巷至装载硐室绕行
掘进一队	2025-11-18	材料	110707190000018	等强螺纹钢式树脂锚杆金属杆体(等强锚杆高强盘)	MSGLD-335/20×2400	套	200.00	47.50	9500.00	开掘	﹢855m大巷至装载硐室绕行
掘进一队	2025-11-18	材料	230713010000008	树脂锚杆锚固剂	MSCKa2335	支	600.00	4.51	2706.00	开掘	﹢856m大巷至装载硐室绕行
掘进一队	2025-11-18	材料	盈树	锚索盘	300x300x14	个	180.00	46.75	8415.00	开掘	﹢857m大巷至装载硐室绕行
掘进一队	2025-11-18	材料	盈树	矿用锚索锚具	KM18-1860	个	800.00	9.64	7712.00	开掘	﹢858m大巷至装载硐室绕行
掘进一队	2025-11-18	材料	盈树	六角头全螺纹螺栓	M16×60	套	500.00	0.62	310.00	开掘	﹢859m大巷至装载硐室绕行
